,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
24,12689666,49569,ADANIPORTS25DECFUT,ADANIPORTS,0.0,2025-12-30,0.0,0.1,475,FUT,NFO-FUT,NFO
25,12605954,49242,ADANIPORTS26JANFUT,ADANIPORTS,0.0,2026-01-27,0.0,0.1,475,FUT,NFO-FUT,NFO
26,15155714,59202,ADANIPORTS26FEBFUT,ADANIPORTS,0.0,2026-02-24,0.0,0.1,475,FUT,NFO-FUT,NFO
27,12690178,49571,ALKEM25DECFUT,ALKEM,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
28,12610306,49259,ALKEM26JANFUT,ALKEM,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
29,15155970,59203,ALKEM26FEBFUT,ALKEM,0.0,2026-02-24,0.0,0.5,125,FUT,NFO-FUT,NFO
30,12691714,49577,AMBER25DECFUT,AMBER,0.0,2025-12-30,0.0,0.5,100,FUT,NFO-FUT,NFO
31,12610562,49260,AMBER26JANFUT,AMBER,0.0,2026-01-27,0.0,0.5,100,FUT,NFO-FUT,NFO
32,15156226,59204,AMBER26FEBFUT,AMBER,0.0,2026-02-24,0.0,0.5,100,FUT,NFO-FUT,NFO
33,12692482,49580,AMBUJACEM25DECFUT,AMBUJACEM,0.0,2025-12-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
34,12611330,49263,AMBUJACEM26JANFUT,AMBUJACEM,0.0,2026-01-27,0.0,0.05,1050,FUT,NFO-FUT,NFO
35,15156482,59205,AMBUJACEM26FEBFUT,AMBUJACEM,0.0,2026-02-24,0.0,0.05,1050,FUT,NFO-FUT,NFO
36,12692738,49581,ANGELONE25DECFUT,ANGELONE,0.0,2025-12-30,0.0,0.1,250,FUT,NFO-FUT,NFO
37,12611842,49265,ANGELONE26JANFUT,ANGELONE,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
38,15156738,59206,ANGELONE26FEBFUT,ANGELONE,0.0,2026-02-24,0.0,0.1,250,FUT,NFO-FUT,NFO
39,12693250,49583,APLAPOLLO25DECFUT,APLAPOLLO,0.0,2025-12-30,0.0,0.1,350,FUT,NFO-FUT,NFO
40,12612098,49266,APLAPOLLO26JANFUT,APLAPOLLO,0.0,2026-01-27,0.0,0.1,350,FUT,NFO-FUT,NFO
41,15156994,59207,APLAPOLLO26FEBFUT,APLAPOLLO,0.0,2026-02-24,0.0,0.1,350,FUT,NFO-FUT,NFO
42,12693506,49584,APOLLOHOSP25DECFUT,APOLLOHOSP,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
43,12612354,49267,APOLLOHOSP26JANFUT,APOLLOHOSP,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
44,15157250,59208,APOLLOHOSP26FEBFUT,APOLLOHOSP,0.0,2026-02-24,0.0,0.5,125,FUT,NFO-FUT,NFO
45,12694530,49588,ASHOKLEY25DECFUT,ASHOKLEY,0.0,2025-12-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
46,12612866,49269,ASHOKLEY26JANFUT,ASHOKLEY,0.0,2026-01-27,0.0,0.01,5000,FUT,NFO-FUT,NFO
47,15157506,59209,ASHOKLEY26FEBFUT,ASHOKLEY,0.0,2026-02-24,0.0,0.01,5000,FUT,NFO-FUT,NFO
48,12694786,49589,ASIANPAINT25DECFUT,ASIANPAINT,0.0,2025-12-30,0.0,0.1,250,FUT,NFO-FUT,NFO
49,12613122,49270,ASIANPAINT26JANFUT,ASIANPAINT,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
50,15157762,59210,ASIANPAINT26FEBFUT,ASIANPAINT,0.0,2026-02-24,0.0,0.1,250,FUT,NFO-FUT,NFO
51,12695042,49590,ASTRAL25DECFUT,ASTRAL,0.0,2025-12-30,0.0,0.1,425,FUT,NFO-FUT,NFO
52,12614914,49277,ASTRAL26JANFUT,ASTRAL,0.0,2026-01-27,0.0,0.1,425,FUT,NFO-FUT,NFO
53,15158018,59211,ASTRAL26FEBFUT,ASTRAL,0.0,2026-02-24,0.0,0.1,425,FUT,NFO-FUT,NFO
54,12695298,49591,AUBANK25DECFUT,AUBANK,0.0,2025-12-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
55,12615170,49278,AUBANK26JANFUT,AUBANK,0.0,2026-01-27,0.0,0.05,1000,FUT,NFO-FUT,NFO
56,15158530,59213,AUBANK26FEBFUT,AUBANK,0.0,2026-02-24,0.0,0.05,1000,FUT,NFO-FUT,NFO
57,12696834,49597,AUROPHARMA25DECFUT,AUROPHARMA,0.0,2025-12-30,0.0,0.1,550,FUT,NFO-FUT,NFO
58,12615426,49279,AUROPHARMA26JANFUT,AUROPHARMA,0.0,2026-01-27,0.0,0.1,550,FUT,NFO-FUT,NFO
59,15158786,59214,AUROPHARMA26FEBFUT,AUROPHARMA,0.0,2026-02-24,0.0,0.1,550,FUT,NFO-FUT,NFO
60,12697090,49598,AXISBANK25DECFUT,AXISBANK,0.0,2025-12-30,0.0,0.1,625,FUT,NFO-FUT,NFO
61,12616194,49282,AXISBANK26JANFUT,AXISBANK,0.0,2026-01-27,0.0,0.1,625,FUT,NFO-FUT,NFO
62,15159042,59215,AXISBANK26FEBFUT,AXISBANK,0.0,2026-02-24,0.0,0.1,625,FUT,NFO-FUT,NFO
63,12698114,49602,BAJAJ-AUTO25DECFUT,BAJAJ-AUTO,0.0,2025-12-30,0.0,0.5,75,FUT,NFO-FUT,NFO
64,12621570,49303,BAJAJ-AUTO26JANFUT,BAJAJ-AUTO,0.0,2026-01-27,0.0,0.5,75,FUT,NFO-FUT,NFO
65,15159298,59216,BAJAJ-AUTO26FEBFUT,BAJAJ-AUTO,0.0,2026-02-24,0.0,0.5,75,FUT,NFO-FUT,NFO
66,12700418,49611,BAJAJFINSV25DECFUT,BAJAJFINSV,0.0,2025-12-30,0.0,0.1,250,FUT,NFO-FUT,NFO
67,12621826,49304,BAJAJFINSV26JANFUT,BAJAJFINSV,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
68,15169026,59254,BAJAJFINSV26FEBFUT,BAJAJFINSV,0.0,2026-02-24,0.0,0.1,250,FUT,NFO-FUT,NFO
69,12700674,49612,BAJFINANCE25DECFUT,BAJFINANCE,0.0,2025-12-30,0.0,0.1,750,FUT,NFO-FUT,NFO
70,12622082,49305,BAJFINANCE26JANFUT,BAJFINANCE,0.0,2026-01-27,0.0,0.1,750,FUT,NFO-FUT,NFO
71,15169282,59255,BAJFINANCE26FEBFUT,BAJFINANCE,0.0,2026-02-24,0.0,0.1,750,FUT,NFO-FUT,NFO
72,12700930,49613,BANDHANBNK25DECFUT,BANDHANBNK,0.0,2025-12-30,0.0,0.01,3600,FUT,NFO-FUT,NFO
73,12622338,49306,BANDHANBNK26JANFUT,BANDHANBNK,0.0,2026-01-27,0.0,0.01,3600,FUT,NFO-FUT,NFO
74,15169538,59256,BANDHANBNK26FEBFUT,BANDHANBNK,0.0,2026-02-24,0.0,0.01,3600,FUT,NFO-FUT,NFO
75,12701698,49616,BANKBARODA25DECFUT,BANKBARODA,0.0,2025-12-30,0.0,0.05,2925,FUT,NFO-FUT,NFO
76,12622594,49307,BANKBARODA26JANFUT,BANKBARODA,0.0,2026-01-27,0.0,0.05,2925,FUT,NFO-FUT,NFO
77,15169794,59257,BANKBARODA26FEBFUT,BANKBARODA,0.0,2026-02-24,0.0,0.05,2925,FUT,NFO-FUT,NFO
78,12702978,49621,BANKINDIA25DECFUT,BANKINDIA,0.0,2025-12-30,0.0,0.01,5200,FUT,NFO-FUT,NFO
79,12622850,49308,BANKINDIA26JANFUT,BANKINDIA,0.0,2026-01-27,0.0,0.01,5200,FUT,NFO-FUT,NFO
80,15170050,59258,BANKINDIA26FEBFUT,BANKINDIA,0.0,2026-02-24,0.0,0.01,5200,FUT,NFO-FUT,NFO
81,12703746,49624,BDL25DECFUT,BDL,0.0,2025-12-30,0.0,0.1,325,FUT,NFO-FUT,NFO
82,12623362,49310,BDL26JANFUT,BDL,0.0,2026-01-27,0.0,0.1,350,FUT,NFO-FUT,NFO
83,15170306,59259,BDL26FEBFUT,BDL,0.0,2026-02-24,0.0,0.1,350,FUT,NFO-FUT,NFO
84,12704002,49625,BEL25DECFUT,BEL,0.0,2025-12-30,0.0,0.05,1425,FUT,NFO-FUT,NFO
85,12623874,49312,BEL26JANFUT,BEL,0.0,2026-01-27,0.0,0.05,1425,FUT,NFO-FUT,NFO
86,15170562,59260,BEL26FEBFUT,BEL,0.0,2026-02-24,0.0,0.05,1425,FUT,NFO-FUT,NFO
87,12704258,49626,BHARATFORG25DECFUT,BHARATFORG,0.0,2025-12-30,0.0,0.1,500,FUT,NFO-FUT,NFO
88,12625154,49317,BHARATFORG26JANFUT,BHARATFORG,0.0,2026-01-27,0.0,0.1,500,FUT,NFO-FUT,NFO
89,15171330,59263,BHARATFORG26FEBFUT,BHARATFORG,0.0,2026-02-24,0.0,0.1,500,FUT,NFO-FUT,NFO
90,12705026,49629,BHARTIARTL25DECFUT,BHARTIARTL,0.0,2025-12-30,0.0,0.1,475,FUT,NFO-FUT,NFO
91,12625410,49318,BHARTIARTL26JANFUT,BHARTIARTL,0.0,2026-01-27,0.0,0.1,475,FUT,NFO-FUT,NFO
92,15171586,59264,BHARTIARTL26FEBFUT,BHARTIARTL,0.0,2026-02-24,0.0,0.1,475,FUT,NFO-FUT,NFO
93,12706050,49633,BHEL25DECFUT,BHEL,0.0,2025-12-30,0.0,0.05,2625,FUT,NFO-FUT,NFO
94,12625666,49319,BHEL26JANFUT,BHEL,0.0,2026-01-27,0.0,0.05,2625,FUT,NFO-FUT,NFO
95,15172354,59267,BHEL26FEBFUT,BHEL,0.0,2026-02-24,0.0,0.05,2625,FUT,NFO-FUT,NFO
96,12706306,49634,BIOCON25DECFUT,BIOCON,0.0,2025-12-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
97,12625922,49320,BIOCON26JANFUT,BIOCON,0.0,2026-01-27,0.0,0.05,2500,FUT,NFO-FUT,NFO
98,15172610,59268,BIOCON26FEBFUT,BIOCON,0.0,2026-02-24,0.0,0.05,2500,FUT,NFO-FUT,NFO
99,12707330,49638,BLUESTARCO25DECFUT,BLUESTARCO,0.0,2025-12-30,0.0,0.1,325,FUT,NFO-FUT,NFO
100,12626690,49323,BLUESTARCO26JANFUT,BLUESTARCO,0.0,2026-01-27,0.0,0.1,325,FUT,NFO-FUT,NFO
101,15172866,59269,BLUESTARCO26FEBFUT,BLUESTARCO,0.0,2026-02-24,0.0,0.1,325,FUT,NFO-FUT,NFO
102,12707586,49639,BOSCHLTD25DECFUT,BOSCHLTD,0.0,2025-12-30,0.0,5.0,25,FUT,NFO-FUT,NFO
103,12626946,49324,BOSCHLTD26JANFUT,BOSCHLTD,0.0,2026-01-27,0.0,5.0,25,FUT,NFO-FUT,NFO
104,15173122,59270,BOSCHLTD26FEBFUT,BOSCHLTD,0.0,2026-02-24,0.0,5.0,25,FUT,NFO-FUT,NFO
105,12708866,49644,BPCL25DECFUT,BPCL,0.0,2025-12-30,0.0,0.05,1975,FUT,NFO-FUT,NFO
106,12627202,49325,BPCL26JANFUT,BPCL,0.0,2026-01-27,0.0,0.05,1975,FUT,NFO-FUT,NFO
107,15174402,59275,BPCL26FEBFUT,BPCL,0.0,2026-02-24,0.0,0.05,1975,FUT,NFO-FUT,NFO
108,12709634,49647,BRITANNIA25DECFUT,BRITANNIA,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
109,12627458,49326,BRITANNIA26JANFUT,BRITANNIA,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
110,15174658,59276,BRITANNIA26FEBFUT,BRITANNIA,0.0,2026-02-24,0.0,0.5,125,FUT,NFO-FUT,NFO
111,12710402,49650,BSE25DECFUT,BSE,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
112,12627714,49327,BSE26JANFUT,BSE,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
113,15174914,59277,BSE26FEBFUT,BSE,0.0,2026-02-24,0.0,0.1,375,FUT,NFO-FUT,NFO
114,12710658,49651,CAMS25DECFUT,CAMS,0.0,2025-12-30,0.0,0.1,750,FUT,NFO-FUT,NFO
115,12627970,49328,CAMS26JANFUT,CAMS,0.0,2026-01-27,0.0,0.1,750,FUT,NFO-FUT,NFO
116,15175170,59278,CAMS26FEBFUT,CAMS,0.0,2026-02-24,0.0,0.1,750,FUT,NFO-FUT,NFO
117,12710914,49652,CANBK25DECFUT,CANBK,0.0,2025-12-30,0.0,0.01,6750,FUT,NFO-FUT,NFO
118,12628226,49329,CANBK26JANFUT,CANBK,0.0,2026-01-27,0.0,0.01,6750,FUT,NFO-FUT,NFO
119,15176450,59283,CANBK26FEBFUT,CANBK,0.0,2026-02-24,0.0,0.01,6750,FUT,NFO-FUT,NFO
120,12712194,49657,CDSL25DECFUT,CDSL,0.0,2025-12-30,0.0,0.1,475,FUT,NFO-FUT,NFO
121,12628482,49330,CDSL26JANFUT,CDSL,0.0,2026-01-27,0.0,0.1,475,FUT,NFO-FUT,NFO
122,15176706,59284,CDSL26FEBFUT,CDSL,0.0,2026-02-24,0.0,0.1,475,FUT,NFO-FUT,NFO
123,12713218,49661,CGPOWER25DECFUT,CGPOWER,0.0,2025-12-30,0.0,0.05,850,FUT,NFO-FUT,NFO
124,12628738,49331,CGPOWER26JANFUT,CGPOWER,0.0,2026-01-27,0.0,0.05,850,FUT,NFO-FUT,NFO
125,15177474,59287,CGPOWER26FEBFUT,CGPOWER,0.0,2026-02-24,0.0,0.05,850,FUT,NFO-FUT,NFO
126,12713474,49662,CHOLAFIN25DECFUT,CHOLAFIN,0.0,2025-12-30,0.0,0.1,625,FUT,NFO-FUT,NFO
127,12628994,49332,CHOLAFIN26JANFUT,CHOLAFIN,0.0,2026-01-27,0.0,0.1,625,FUT,NFO-FUT,NFO
128,15177730,59288,CHOLAFIN26FEBFUT,CHOLAFIN,0.0,2026-02-24,0.0,0.1,625,FUT,NFO-FUT,NFO
129,12713730,49663,CIPLA25DECFUT,CIPLA,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
130,12629762,49335,CIPLA26JANFUT,CIPLA,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
131,15177986,59289,CIPLA26FEBFUT,CIPLA,0.0,2026-02-24,0.0,0.1,375,FUT,NFO-FUT,NFO
132,12713986,49664,COALINDIA25DECFUT,COALINDIA,0.0,2025-12-30,0.0,0.05,1350,FUT,NFO-FUT,NFO
133,12630018,49336,COALINDIA26JANFUT,COALINDIA,0.0,2026-01-27,0.0,0.05,1350,FUT,NFO-FUT,NFO
134,15178242,59290,COALINDIA26FEBFUT,COALINDIA,0.0,2026-02-24,0.0,0.05,1350,FUT,NFO-FUT,NFO
135,12716290,49673,COFORGE25DECFUT,COFORGE,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
136,12631554,49342,COFORGE26JANFUT,COFORGE,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
137,15178498,59291,COFORGE26FEBFUT,COFORGE,0.0,2026-02-24,0.0,0.1,375,FUT,NFO-FUT,NFO
138,12716546,49674,COLPAL25DECFUT,COLPAL,0.0,2025-12-30,0.0,0.1,225,FUT,NFO-FUT,NFO
139,12631810,49343,COLPAL26JANFUT,COLPAL,0.0,2026-01-27,0.0,0.1,225,FUT,NFO-FUT,NFO
140,15178754,59292,COLPAL26FEBFUT,COLPAL,0.0,2026-02-24,0.0,0.1,225,FUT,NFO-FUT,NFO
141,12716802,49675,CONCOR25DECFUT,CONCOR,0.0,2025-12-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
142,12633346,49349,CONCOR26JANFUT,CONCOR,0.0,2026-01-27,0.0,0.05,1250,FUT,NFO-FUT,NFO
143,15179010,59293,CONCOR26FEBFUT,CONCOR,0.0,2026-02-24,0.0,0.05,1250,FUT,NFO-FUT,NFO
144,12717058,49676,CROMPTON25DECFUT,CROMPTON,0.0,2025-12-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
145,12633602,49350,CROMPTON26JANFUT,CROMPTON,0.0,2026-01-27,0.0,0.05,1800,FUT,NFO-FUT,NFO
146,15179266,59294,CROMPTON26FEBFUT,CROMPTON,0.0,2026-02-24,0.0,0.05,1800,FUT,NFO-FUT,NFO
147,12718082,49680,CUMMINSIND25DECFUT,CUMMINSIND,0.0,2025-12-30,0.0,0.1,200,FUT,NFO-FUT,NFO
148,12633858,49351,CUMMINSIND26JANFUT,CUMMINSIND,0.0,2026-01-27,0.0,0.1,200,FUT,NFO-FUT,NFO
149,15181058,59301,CUMMINSIND26FEBFUT,CUMMINSIND,0.0,2026-02-24,0.0,0.1,200,FUT,NFO-FUT,NFO
150,12719874,49687,CYIENT25DECFUT,CYIENT,0.0,2025-12-30,0.0,0.1,425,FUT,NFO-FUT,NFO
151,12720130,49688,DABUR25DECFUT,DABUR,0.0,2025-12-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
152,12634114,49352,DABUR26JANFUT,DABUR,0.0,2026-01-27,0.0,0.05,1250,FUT,NFO-FUT,NFO
153,15181314,59302,DABUR26FEBFUT,DABUR,0.0,2026-02-24,0.0,0.05,1250,FUT,NFO-FUT,NFO
154,12720898,49691,DALBHARAT25DECFUT,DALBHARAT,0.0,2025-12-30,0.0,0.1,325,FUT,NFO-FUT,NFO
155,12634370,49353,DALBHARAT26JANFUT,DALBHARAT,0.0,2026-01-27,0.0,0.1,325,FUT,NFO-FUT,NFO
156,15181570,59303,DALBHARAT26FEBFUT,DALBHARAT,0.0,2026-02-24,0.0,0.1,325,FUT,NFO-FUT,NFO
157,12721154,49692,DELHIVERY25DECFUT,DELHIVERY,0.0,2025-12-30,0.0,0.05,2075,FUT,NFO-FUT,NFO
158,12634626,49354,DELHIVERY26JANFUT,DELHIVERY,0.0,2026-01-27,0.0,0.05,2075,FUT,NFO-FUT,NFO
159,15181826,59304,DELHIVERY26FEBFUT,DELHIVERY,0.0,2026-02-24,0.0,0.05,2075,FUT,NFO-FUT,NFO
160,12721410,49693,DIVISLAB25DECFUT,DIVISLAB,0.0,2025-12-30,0.0,0.5,100,FUT,NFO-FUT,NFO
161,12636930,49363,DIVISLAB26JANFUT,DIVISLAB,0.0,2026-01-27,0.0,0.5,100,FUT,NFO-FUT,NFO
162,15182082,59305,DIVISLAB26FEBFUT,DIVISLAB,0.0,2026-02-24,0.0,0.5,100,FUT,NFO-FUT,NFO
163,12722178,49696,DIXON25DECFUT,DIXON,0.0,2025-12-30,0.0,1.0,50,FUT,NFO-FUT,NFO
164,12637186,49364,DIXON26JANFUT,DIXON,0.0,2026-01-27,0.0,1.0,50,FUT,NFO-FUT,NFO
165,15182338,59306,DIXON26FEBFUT,DIXON,0.0,2026-02-24,0.0,1.0,50,FUT,NFO-FUT,NFO
166,12722946,49699,DLF25DECFUT,DLF,0.0,2025-12-30,0.0,0.05,825,FUT,NFO-FUT,NFO
167,12638722,49370,DLF26JANFUT,DLF,0.0,2026-01-27,0.0,0.05,825,FUT,NFO-FUT,NFO
168,15182594,59307,DLF26FEBFUT,DLF,0.0,2026-02-24,0.0,0.05,825,FUT,NFO-FUT,NFO
169,12723202,49700,DMART25DECFUT,DMART,0.0,2025-12-30,0.0,0.1,150,FUT,NFO-FUT,NFO
170,12639234,49372,DMART26JANFUT,DMART,0.0,2026-01-27,0.0,0.1,150,FUT,NFO-FUT,NFO
171,15182850,59308,DMART26FEBFUT,DMART,0.0,2026-02-24,0.0,0.1,150,FUT,NFO-FUT,NFO
172,12724994,49707,DRREDDY25DECFUT,DRREDDY,0.0,2025-12-30,0.0,0.1,625,FUT,NFO-FUT,NFO
173,12639746,49374,DRREDDY26JANFUT,DRREDDY,0.0,2026-01-27,0.0,0.1,625,FUT,NFO-FUT,NFO
174,15183106,59309,DRREDDY26FEBFUT,DRREDDY,0.0,2026-02-24,0.0,0.1,625,FUT,NFO-FUT,NFO
175,12726018,49711,EICHERMOT25DECFUT,EICHERMOT,0.0,2025-12-30,0.0,0.5,175,FUT,NFO-FUT,NFO
176,12640002,49375,EICHERMOT26JANFUT,EICHERMOT,0.0,2026-01-27,0.0,0.5,100,FUT,NFO-FUT,NFO
177,15183362,59310,EICHERMOT26FEBFUT,EICHERMOT,0.0,2026-02-24,0.0,0.5,100,FUT,NFO-FUT,NFO
178,12726274,49712,ETERNAL25DECFUT,ETERNAL,0.0,2025-12-30,0.0,0.05,2425,FUT,NFO-FUT,NFO
179,12642050,49383,ETERNAL26JANFUT,ETERNAL,0.0,2026-01-27,0.0,0.05,2425,FUT,NFO-FUT,NFO
180,15183618,59311,ETERNAL26FEBFUT,ETERNAL,0.0,2026-02-24,0.0,0.05,2425,FUT,NFO-FUT,NFO
181,12726530,49713,EXIDEIND25DECFUT,EXIDEIND,0.0,2025-12-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
182,12642306,49384,EXIDEIND26JANFUT,EXIDEIND,0.0,2026-01-27,0.0,0.05,1800,FUT,NFO-FUT,NFO
183,15183874,59312,EXIDEIND26FEBFUT,EXIDEIND,0.0,2026-02-24,0.0,0.05,1800,FUT,NFO-FUT,NFO
184,12726786,49714,FEDERALBNK25DECFUT,FEDERALBNK,0.0,2025-12-30,0.0,0.05,5000,FUT,NFO-FUT,NFO
185,12644098,49391,FEDERALBNK26JANFUT,FEDERALBNK,0.0,2026-01-27,0.0,0.05,5000,FUT,NFO-FUT,NFO
186,15184642,59315,FEDERALBNK26FEBFUT,FEDERALBNK,0.0,2026-02-24,0.0,0.05,5000,FUT,NFO-FUT,NFO
187,12677378,49521,FINNIFTY25DECFUT,FINNIFTY,0.0,2025-12-30,0.0,0.1,65,FUT,NFO-FUT,NFO
188,12601602,49225,FINNIFTY26JANFUT,FINNIFTY,0.0,2026-01-27,0.0,0.1,60,FUT,NFO-FUT,NFO
189,15149058,59176,FINNIFTY26FEBFUT,FINNIFTY,0.0,2026-02-24,0.0,0.1,60,FUT,NFO-FUT,NFO
190,12729090,49723,FORTIS25DECFUT,FORTIS,0.0,2025-12-30,0.0,0.05,775,FUT,NFO-FUT,NFO
191,12644354,49392,FORTIS26JANFUT,FORTIS,0.0,2026-01-27,0.0,0.05,775,FUT,NFO-FUT,NFO
192,15184898,59316,FORTIS26FEBFUT,FORTIS,0.0,2026-02-24,0.0,0.05,775,FUT,NFO-FUT,NFO
193,12729346,49724,GAIL25DECFUT,GAIL,0.0,2025-12-30,0.0,0.01,3150,FUT,NFO-FUT,NFO
194,12644610,49393,GAIL26JANFUT,GAIL,0.0,2026-01-27,0.0,0.01,3150,FUT,NFO-FUT,NFO
195,15186178,59321,GAIL26FEBFUT,GAIL,0.0,2026-02-24,0.0,0.01,3150,FUT,NFO-FUT,NFO
196,12729602,49725,GLENMARK25DECFUT,GLENMARK,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
197,12644866,49394,GLENMARK26JANFUT,GLENMARK,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
198,15186434,59322,GLENMARK26FEBFUT,GLENMARK,0.0,2026-02-24,0.0,0.1,375,FUT,NFO-FUT,NFO
199,12729858,49726,GMRAIRPORT25DECFUT,GMRAIRPORT,0.0,2025-12-30,0.0,0.01,6975,FUT,NFO-FUT,NFO
200,12645122,49395,GMRAIRPORT26JANFUT,GMRAIRPORT,0.0,2026-01-27,0.0,0.01,6975,FUT,NFO-FUT,NFO
201,15189762,59335,GMRAIRPORT26FEBFUT,GMRAIRPORT,0.0,2026-02-24,0.0,0.01,6975,FUT,NFO-FUT,NFO
202,12730370,49728,GODREJCP25DECFUT,GODREJCP,0.0,2025-12-30,0.0,0.1,500,FUT,NFO-FUT,NFO
203,12645378,49396,GODREJCP26JANFUT,GODREJCP,0.0,2026-01-27,0.0,0.1,500,FUT,NFO-FUT,NFO
204,15190530,59338,GODREJCP26FEBFUT,GODREJCP,0.0,2026-02-24,0.0,0.1,500,FUT,NFO-FUT,NFO
205,12730626,49729,GODREJPROP25DECFUT,GODREJPROP,0.0,2025-12-30,0.0,0.1,275,FUT,NFO-FUT,NFO
206,12645634,49397,GODREJPROP26JANFUT,GODREJPROP,0.0,2026-01-27,0.0,0.1,275,FUT,NFO-FUT,NFO
